designation,nominal_mm,pitch_mm,series
M42x4,42,4,fine
M42x3,42,3,fine
M42x2,42,2,fine
M42x1.5,42,1.5,fine
M42x1,42,1,fine
M45,45,4.5,coarse
M45x4.5,45,4.5,coarse
M45x4,45,4,fine
M45x3,45,3,fine
M45x2,45,2,fine
M45x1.5,45,1.5,fine
M45x1,45,1,fine
M48,48,5,coarse
M48x5,48,5,coarse
M48x4,48,4,fine
M48x3,48,3,fine
M48x2,48,2,fine
M48x1.5,48,1.5,fine
M50x4,50,4,unlabelled
M50x3,50,3,unlabelled
M50x2,50,2,unlabelled
M50x1.5,50,1.5,unlabelled
M52,52,5,coarse
M52x5,52,5,coarse
M52x4,52,4,fine
M52x3,52,3,fine
M52x2,52,2,fine
M52x1.5,52,1.5,fine
M55x4,55,4,unlabelled
M55x3,55,3,unlabelled
M55x2,55,2,unlabelled
M55x1.5,55,1.5,unlabelled
M56,56,5.5,coarse
M56x5.5,56,5.5,coarse
M56x4,56,4,fine
M56x3,56,3,fine
M56x2,56,2,fine
M56x1.5,56,1.5,fine
M56x1,56,1,fine
M58x4,58,4,unlabelled
M58x3,58,3,unlabelled
M58x2,58,2,unlabelled
M58x1.5,58,1.5,unlabelled
M60,60,5.5,coarse
M60x5.5,60,5.5,coarse
M60x4,60,4,fine
M60x3,60,3,fine
M60x2,60,2,fine
M60x1.5,60,1.5,fine
M60x1,60,1,fine
M62x4,62,4,unlabelled
M62x3,62,3,unlabelled
M62x2,62,2,unlabelled
M62x1.5,62,1.5,unlabelled
M63x1.5,63,1.5,unlabelled
M64,64,6,coarse
M64x6,64,6,coarse
M64x5.5,64,5.5,fine
M64x4,64,4,fine
M64x3,64,3,fine
M64x2,64,2,fine
M64x1.5,64,1.5,fine
M64x1,64,1,fine
M65x4,65,4,unlabelled
M65x3,65,3,unlabelled
M65x2,65,2,unlabelled
M65x1.5,65,1.5,unlabelled
M68x6,68,6,unlabelled
M68x4,68,4,unlabelled
M68x3,68,3,unlabelled
M68x2,68,2,unlabelled
M68x1.5,68,1.5,unlabelled
M68x1,68,1,unlabelled
M70x6,70,6,unlabelled
M70x4,70,4,unlabelled
M70x3,70,3,unlabelled
M70x2,70,2,unlabelled
M70x1.5,70,1.5,unlabelled
M72x6,72,6,unlabelled
M72x4,72,4,unlabelled
M72x3,72,3,unlabelled
M72x2,72,2,unlabelled
M72x1.5,72,1.5,unlabelled
M72x1,72,1,unlabelled
M75x6,75,6,unlabelled
M75x4,75,4,unlabelled
M75x3,75,3,unlabelled
M75x2,75,2,unlabelled
M75x1.5,75,1.5,unlabelled
M76x6,76,6,unlabelled
M76x4,76,4,unlabelled
M76x3,76,3,unlabelled
